"o.c.sentence","o.c.feeling","n.p.sentence","n.p.feeling","g.feeling","gender","age","income","education","Location"
"It's important for a person to be honest, kind and loyal.","Some","Some experts say it's important to drink milk, but the data is inconclusive.","Not much","Somewhat important","Male","30-44","$50,000 - $99,999","Bachelor degree","South Atlantic"
"It's important for a person to be honest, kind, and loyal.","Not much","Some experts say it's important to drink milk, but the data is inconclusive.","Not much","Somewhat unimportant","Male","30-44","$50,000 - $99,999","Graduate degree","Mountain"
"It's important for a person to be honest, kind, and loyal.","Some","Some experts say it's important to drink milk, but the data is inconclusive.","Not at all","Very important","Male","30-44","","","East North Central"
"It's important for a person to be honest, kind, and loyal.","Some","Some experts say it's important to drink milk, but the data is inconclusive.","Some","Somewhat important","Male","18-29","","Less than high school degree","Middle Atlantic"
"It's important for a person to be honest, kind and loyal.","Not much","Some experts say it's important to drink milk, but the data is inconclusive.","Not much","","","","","",""
"It's important for a person to be honest, kind, and loyal.","A lot","Some experts say it's important to drink milk, but the data are inconclusive.","Some","Very important","Male","18-29","$25,000 - $49,999","Some college or Associate degree","New England"
"It's important for a person to be honest, kind, and loyal.","A lot","Some experts say it's important to drink milk, but the data is inconclusive.","Some","Very important","Male","18-29","$0 - $24,999","Some college or Associate degree","Pacific"
"It's important for a person to be honest, kind, and loyal.","A lot","Some experts say it's important to drink milk, but the data are inconclusive.","A lot","Very important","Male","18-29","$25,000 - $49,999","Some college or Associate degree","East North Central"
"It's important for a person to be honest, kind, and loyal.","A lot","Some experts say it's important to drink milk, but the data is inconclusive.","Not much","Very important","Male","30-44","$50,000 - $99,999","Graduate degree","Mountain"
"It's important for a person to be honest, kind and loyal.","Not at all","Some experts say it's important to drink milk, but the data are inconclusive.","Some","Very important","Male","30-44","$150,000+","Bachelor degree","Pacific"
"It's important for a person to be honest, kind, and loyal.","Some","Some experts say it's important to drink milk, but the data is inconclusive.","Not at all","Very important","Male","18-29","$50,000 - $99,999","Bachelor degree","Mountain"
"It's important for a person to be honest, kind and loyal.","Not at all","Some experts say it's important to drink milk, but the data is inconclusive.","Not at all","Somewhat important","Male","30-44","$25,000 - $49,999","Some college or Associate degree","Middle Atlantic"
"It's important for a person to be honest, kind, and loyal.","Some","Some experts say it's important to drink milk, but the data is inconclusive.","Some","Very important","Male","18-29","$50,000 - $99,999","Bachelor degree","East South Central"
"It's important for a person to be honest, kind, and loyal.","A lot","Some experts say it's important to drink milk, but the data is inconclusive.","Some","Somewhat important","Male","18-29","","Some college or Associate degree","West North Central"
"It's important for a person to be honest, kind and loyal.","Some","Some experts say it's important to drink milk, but the data is inconclusive.","Some","Very important","Male","18-29","$0 - $24,999","Some college or Associate degree","Pacific"
"It's important for a person to be honest, kind, and loyal.","A lot","Some experts say it's important to drink milk, but the data is inconclusive.","Some","Very important","Male","30-44","$50,000 - $99,999","Graduate degree","West North Central"
"It's important for a person to be honest, kind, and loyal.","Not much","Some experts say it's important to drink milk, but the data are inconclusive.","Not much","Somewhat important","Male","30-44","$100,000 - $149,999","Graduate degree","West North Central"
"It's important for a person to be honest, kind, and loyal.","Some","Some experts say it's important to drink milk, but the data is inconclusive.","Not much","Somewhat important","Male","18-29","","Some college or Associate degree","East North Central"
"It's important for a person to be honest, kind and loyal.","Some","Some experts say it's important to drink milk, but the data are inconclusive.","Some","Very important","Male","30-44","$100,000 - $149,999","Bachelor degree","Mountain"
"It's important for a person to be honest, kind and loyal.","Not at all","Some experts say it's important to drink milk, but the data is inconclusive.","Not much","Very important","Male","30-44","$100,000 - $149,999","Bachelor degree","Pacific"
"It's important for a person to be honest, kind, and loyal.","A lot","Some experts say it's important to drink milk, but the data is inconclusive.","Some","Somewhat important","Male","18-29","","Some college or Associate degree","West North Central"
"It's important for a person to be honest, kind and loyal.","Some","Some experts say it's important to drink milk, but the data is inconclusive.","Some","Very important","Male","18-29","$50,000 - $99,999","Bachelor degree","Pacific"
"It's important for a person to be honest, kind, and loyal.","Not much","Some experts say it's important to drink milk, but the data is inconclusive.","Not at all","Somewhat important","Male","18-29","$50,000 - $99,999","Bachelor degree","Pacific"
"It's important for a person to be honest, kind, and loyal.","A lot","Some experts say it's important to drink milk, but the data is inconclusive.","Some","","","","","",""
"It's important for a person to be honest, kind, and loyal.","A lot","Some experts say it's important to drink milk, but the data are inconclusive.","A lot","Somewhat important","Male","18-29","$100,000 - $149,999","Bachelor degree","South Atlantic"
"It's important for a person to be honest, kind and loyal.","","","","","","","","",""
